uniqID,GeneID,locus_tag,UniProtID,type,gene,product
g0001,3900001,SYN_00001,P10001,CDS,hapu,hypothetical protein
g0002,3900002,SYN_00002,P10002,CDS,mig,DNA-binding response regulator
g0003,3900003,SYN_00003,P10003,CDS,dovoD,transcriptional regulator
g0004,3900004,SYN_00004,P10004,CDS,nur,hypothetical protein
g0005,3900005,SYN_00005,P10005,CDS,nave,50S ribosomal protein
g0006,3900006,SYN_00006,P10006,CDS,favA,NADH dehydrogenase subunit
g0007,3900007,SYN_00007,P10007,CDS,luca,hypothetical protein
g0008,3900008,SYN_00008,P10008,CDS,not,50S ribosomal protein
g0009,3900009,SYN_00009,P10009,CDS,regoD,NADH dehydrogenase subunit
g0010,3900010,SYN_00010,P10010,CDS,lul,50S ribosomal protein
g0011,3900011,SYN_00011,P10011,CDS,paho,transcriptional regulator
g0012,3900012,SYN_00012,P10012,CDS,girA,ABC transporter ATP-binding protein
g0013,3900013,SYN_00013,P10013,CDS,,cell division protein
g0014,3900014,SYN_00014,P10014,CDS,,cell division protein
g0015,3900015,SYN_00015,P10015,CDS,besoD,cell division protein
g0016,3900016,SYN_00016,P10016,CDS,nad,NADH dehydrogenase subunit
g0017,3900017,SYN_00017,P10017,CDS,kedi,ABC transporter ATP-binding protein
g0018,3900018,SYN_00018,P10018,CDS,tahA,NADH dehydrogenase subunit
g0019,3900019,SYN_00019,P10019,CDS,vera,putative oxidoreductase
g0020,3900020,SYN_00020,P10020,CDS,,ABC transporter ATP-binding protein
g0021,3900021,SYN_00021,P10021,CDS,kenuD,50S ribosomal protein
g0022,3900022,SYN_00022,P10022,CDS,,NADH dehydrogenase subunit
g0023,3900023,SYN_00023,P10023,CDS,,DNA-binding response regulator
g0024,3900024,SYN_00024,P10024,CDS,,50S ribosomal protein
g0025,3900025,SYN_00025,P10025,CDS,ruhu,50S ribosomal protein
g0026,3900026,SYN_00026,P10026,CDS,sen,transcriptional regulator
g0027,3900027,SYN_00027,P10027,CDS,,ABC transporter ATP-binding protein
g0028,3900028,SYN_00028,P10028,CDS,guv,cell division protein
g0029,3900029,SYN_00029,P10029,CDS,bato,cell division protein
g0030,3900030,SYN_00030,P10030,CDS,nedA,DNA-binding response regulator
g0031,3900031,SYN_00031,P10031,CDS,haki,putative oxidoreductase
g0032,3900032,SYN_00032,P10032,CDS,,ribosomal protein
g0033,3900033,SYN_00033,P10033,CDS,tovaD,hypothetical protein
g0034,3900034,SYN_00034,P10034,CDS,,transcriptional regulator
g0035,3900035,SYN_00035,P10035,CDS,neca,cell division protein
g0036,3900036,SYN_00036,P10036,CDS,,cell division protein
g0037,3900037,SYN_00037,P10037,CDS,,50S ribosomal protein
g0038,3900038,SYN_00038,P10038,CDS,huf,putative oxidoreductase
g0039,3900039,SYN_00039,P10039,CDS,,DNA-binding response regulator
g0040,3900040,SYN_00040,P10040,CDS,hiv,ABC transporter ATP-binding protein
g0041,3900041,SYN_00041,P10041,CDS,rege,ABC transporter ATP-binding protein
g0042,3900042,SYN_00042,P10042,CDS,,50S ribosomal protein
g0043,3900043,SYN_00043,P10043,CDS,,DNA-binding response regulator
g0044,3900044,SYN_00044,P10044,CDS,,hypothetical protein
g0045,3900045,SYN_00045,P10045,CDS,,transcriptional regulator
g0046,3900046,SYN_00046,P10046,CDS,rom,hypothetical protein
g0047,3900047,SYN_00047,P10047,CDS,fuki,ribosomal protein
g0048,3900048,SYN_00048,P10048,CDS,golA,DNA-binding response regulator
g0049,3900049,SYN_00049,P10049,CDS,helu,ABC transporter ATP-binding protein
g0050,3900050,SYN_00050,P10050,CDS,,DNA-binding response regulator
g0051,3900051,SYN_00051,P10051,CDS,dokiD,NADH dehydrogenase subunit
g0052,3900052,SYN_00052,P10052,CDS,ref,hypothetical protein
g0053,3900053,SYN_00053,P10053,CDS,,ribosomal protein
g0054,3900054,SYN_00054,P10054,CDS,bigA,50S ribosomal protein
g0055,3900055,SYN_00055,P10055,CDS,koto,cell division protein
g0056,3900056,SYN_00056,P10056,CDS,,transcriptional regulator
g0057,3900057,SYN_00057,P10057,CDS,,transcriptional regulator
g0058,3900058,SYN_00058,P10058,CDS,,hypothetical protein
g0059,3900059,SYN_00059,P10059,CDS,mona,NADH dehydrogenase subunit
g0060,3900060,SYN_00060,P10060,CDS,gosA,putative oxidoreductase
g0061,3900061,SYN_00061,P10061,CDS,poci,transcriptional regulator
g0062,3900062,SYN_00062,P10062,CDS,,NADH dehydrogenase subunit
g0063,3900063,SYN_00063,P10063,CDS,boreD,transcriptional regulator
g0064,3900064,SYN_00064,P10064,CDS,,ABC transporter ATP-binding protein
g0065,3900065,SYN_00065,P10065,CDS,vabe,ABC transporter ATP-binding protein
g0066,3900066,SYN_00066,P10066,CDS,lepA,hypothetical protein
g0067,3900067,SYN_00067,P10067,CDS,nafa,DNA-binding response regulator
g0068,3900068,SYN_00068,P10068,CDS,god,putative oxidoreductase
g0069,3900069,SYN_00069,P10069,CDS,,putative oxidoreductase
g0070,3900070,SYN_00070,P10070,CDS,,ribosomal protein
g0071,3900071,SYN_00071,P10071,CDS,gila,cell division protein
g0072,3900072,SYN_00072,P10072,CDS,,ribosomal protein
g0073,3900073,SYN_00073,P10073,CDS,hido,hypothetical protein
g0074,3900074,SYN_00074,P10074,CDS,giv,cell division protein
g0075,3900075,SYN_00075,P10075,CDS,,ABC transporter ATP-binding protein
g0076,3900076,SYN_00076,P10076,CDS,kok,ribosomal protein
g0077,3900077,SYN_00077,P10077,CDS,gele,50S ribosomal protein
g0078,3900078,SYN_00078,P10078,CDS,vepA,putative oxidoreductase
g0079,3900079,SYN_00079,P10079,CDS,pesu,NADH dehydrogenase subunit
g0080,3900080,SYN_00080,P10080,CDS,sot,transcriptional regulator
g0081,3900081,SYN_00081,P10081,CDS,velaD,DNA-binding response regulator
g0082,3900082,SYN_00082,P10082,CDS,hug,putative oxidoreductase
g0083,3900083,SYN_00083,P10083,CDS,,ABC transporter ATP-binding protein
g0084,3900084,SYN_00084,P10084,CDS,kosA,cell division protein
g0085,3900085,SYN_00085,P10085,CDS,dafu,ribosomal protein
g0086,3900086,SYN_00086,P10086,CDS,vov,ABC transporter ATP-binding protein
g0087,3900087,SYN_00087,P10087,CDS,docuD,transcriptional regulator
g0088,3900088,SYN_00088,P10088,CDS,rik,ribosomal protein
g0089,3900089,SYN_00089,P10089,CDS,voma,ABC transporter ATP-binding protein
g0090,3900090,SYN_00090,P10090,CDS,,putative oxidoreductase
g0091,3900091,SYN_00091,P10091,CDS,lehu,DNA-binding response regulator
g0092,3900092,SYN_00092,P10092,CDS,par,DNA-binding response regulator
g0093,3900093,SYN_00093,P10093,CDS,sepoD,DNA-binding response regulator
g0094,3900094,SYN_00094,P10094,CDS,kuf,cell division protein
g0095,3900095,SYN_00095,P10095,CDS,havu,cell division protein
g0096,3900096,SYN_00096,P10096,CDS,,ABC transporter ATP-binding protein
g0097,3900097,SYN_00097,P10097,CDS,tefa,hypothetical protein
g0098,3900098,SYN_00098,P10098,CDS,,DNA-binding response regulator
g0099,3900099,SYN_00099,P10099,CDS,,ABC transporter ATP-binding protein
g0100,3900100,SYN_00100,P10100,CDS,nab,hypothetical protein
g0101,3900101,SYN_00101,P10101,CDS,tihu,cell division protein
g0102,3900102,SYN_00102,P10102,CDS,,hypothetical protein
g0103,3900103,SYN_00103,P10103,CDS,,ribosomal protein
g0104,3900104,SYN_00104,P10104,CDS,nul,50S ribosomal protein
g0105,3900105,SYN_00105,P10105,CDS,bahiD,putative oxidoreductase
g0106,3900106,SYN_00106,P10106,CDS,,DNA-binding response regulator
g0107,3900107,SYN_00107,P10107,CDS,,ABC transporter ATP-binding protein
g0108,3900108,SYN_00108,P10108,CDS,,ribosomal protein
g0109,3900109,SYN_00109,P10109,CDS,,hypothetical protein
g0110,3900110,SYN_00110,P10110,CDS,tot,cell division protein
