UniProtID,well,value
P10001,A1,170.7500
P10001,A2,156.2308
P10001,A3,122.0404
P10001,A4,189.3402
P10001,A5,165.7493
P10001,A6,176.6484
P10001,B1,235.5281
P10001,B2,236.1171
P10001,B3,352.6634
P10001,B4,132.4991
P10001,B5,148.6823
P10001,B6,122.4553
P10001,C1,196.5479
P10001,C2,194.1721
P10001,C3,164.3708
P10001,C4,325.9218
P10001,C5,280.5906
P10001,C6,279.5932
P10001,D1,624.3264
P10001,D2,830.9521
P10001,D3,612.7136
P10001,D4,117.6132
P10001,D5,122.2912
P10001,D6,108.1061
P10001,E1,113.2662
P10001,E2,124.4355
P10001,E3,136.4947
P10001,E4,120.9658
P10001,E5,150.8248
P10001,E6,161.0457
P10001,F1,167.9532
P10001,F3,150.4791
P10001,F4,100.7544
P10001,F5,120.7483
P10001,F6,119.9376
P10001,G1,119.5465
P10001,G2,141.9089
P10001,G3,145.2903
P10001,G4,188.6048
P10001,G6,154.3687
P10001,H1,225.0930
P10001,H2,182.1054
P10001,H3,214.1905
P10001,H4,114.9938
P10001,H5,117.0937
P10001,H6,95.0378
P10002,A1,1588.1409
P10002,A2,1617.5376
P10002,A3,1375.8866
P10002,A4,2060.5518
P10002,A5,1949.2839
P10002,A6,2064.1552
P10002,B1,2724.3359
P10002,B2,2813.5210
P10002,B3,3111.9869
P10002,B4,995.8935
P10002,B5,1159.2949
P10002,B6,1117.4064
P10002,C1,1628.4070
P10002,C2,1736.8496
P10002,C3,1545.8623
P10002,C4,2205.5860
P10002,C5,3031.6828
P10002,C6,2538.7129
P10002,D1,6504.3347
P10002,D2,5672.6917
P10002,D3,6921.1686
P10002,D4,1007.5372
P10002,D5,1047.2314
P10002,D6,1111.0212
P10002,E1,1156.4815
P10002,E2,1296.2755
P10002,E3,1227.2105
P10002,E4,1150.7173
P10002,E5,1468.8332
P10002,E6,1230.6207
P10002,F1,1832.2437
P10002,F2,1186.1443
P10002,F3,1626.6104
P10002,F4,1137.4192
P10002,F5,1190.6774
P10002,F6,1124.7040
P10002,G1,1197.9082
P10002,G2,1675.8538
P10002,G3,1303.7664
P10002,G4,1592.2278
P10002,G5,1695.3396
P10002,G6,1603.8397
P10002,H1,1982.5314
P10002,H2,2054.8383
P10002,H3,1906.7145
P10002,H4,1181.5759
P10002,H5,1064.6154
P10002,H6,998.9506
P10003,A1,492.0476
P10003,A2,530.7413
P10003,A3,502.9120
P10003,A4,509.7054
P10003,A6,584.3567
P10003,B1,1026.8267
P10003,B2,834.1859
P10003,B3,826.1569
P10003,B4,346.7548
P10003,B5,471.3559
P10003,B6,445.8577
P10003,C1,579.6161
P10003,C2,594.2839
P10003,C3,664.3904
P10003,C4,788.0138
P10003,C5,843.0492
P10003,C6,845.6302
P10003,D1,2009.3973
P10003,D2,1535.0585
P10003,D3,2045.1672
P10003,D4,455.3715
P10003,D5,435.2647
P10003,D6,449.4274
P10003,E1,433.1451
P10003,E2,429.4461
P10003,E3,490.3051
P10003,E4,557.3097
P10003,E5,453.8185
P10003,E6,446.5158
P10003,F1,552.5833
P10003,F2,632.3665
P10003,F3,520.2709
P10003,F4,476.6471
P10003,F5,358.9521
P10003,F6,351.6572
P10003,G1,440.3852
P10003,G2,500.7671
P10003,G3,432.7939
P10003,G4,459.0252
P10003,G5,573.9766
P10003,G6,514.7003
P10003,H1,829.0446
P10003,H2,600.8908
P10003,H3,751.6830
P10003,H4,378.7253
P10003,H5,492.0470
P10003,H6,414.0435
P10004,A1,830.0463
P10004,A2,634.6981
P10004,A3,726.2107
P10004,A4,855.3953
P10004,A5,879.8705
P10004,A6,901.5582
P10004,B1,780.9547
P10004,B2,885.2879
P10004,B3,769.7007
P10004,B4,758.0376
P10004,B5,860.6815
P10004,B6,932.4493
P10004,C1,909.0664
P10004,C2,797.6790
P10004,C3,771.1858
P10004,C4,810.3420
P10004,C5,714.9105
P10004,C6,769.2761
P10004,D1,794.1272
P10004,D2,884.7770
P10004,D3,552.2648
P10004,D4,985.5513
P10004,D5,861.6284
P10004,D6,815.5371
P10004,E1,833.8451
P10004,E2,806.4714
P10004,E3,716.4960
P10004,E4,767.0629
P10004,E5,805.4341
P10004,E6,802.1199
P10004,F1,829.7298
P10004,F2,828.9442
P10004,F3,956.8391
P10004,F4,1021.6891
P10004,F5,820.2554
P10004,F6,900.2128
P10004,G1,908.6434
P10004,G2,705.7359
P10004,G3,806.8777
P10004,G4,781.5804
P10004,G5,737.7087
P10004,H1,894.3455
P10004,H2,841.6210
P10004,H3,926.0503
P10004,H4,814.7801
P10004,H5,811.7471
P10004,H6,660.1956
P10005,A1,747.8418
P10005,A2,626.9704
P10005,A3,677.5443
P10005,A5,526.4917
P10005,A6,581.3115
P10005,B1,622.9465
P10005,B2,605.9302
P10005,B3,667.4091
P10005,B4,666.8057
P10005,B5,630.7071
P10005,B6,603.6380
P10005,C1,645.0361
P10005,C2,653.5349
P10005,C3,773.6819
P10005,C4,536.2634
P10005,C5,569.5110
P10005,C6,609.5420
P10005,D1,603.7079
P10005,D2,638.8549
P10005,D3,687.8298
P10005,D4,616.3664
P10005,D5,609.8984
P10005,D6,591.4431
P10005,E1,682.1727
P10005,E2,785.1404
P10005,E3,658.6405
P10005,E4,571.5239
P10005,E5,531.4983
P10005,E6,499.0355
P10005,F1,535.8768
P10005,F2,656.9891
P10005,F3,491.8322
P10005,F4,660.7514
P10005,F5,584.0055
P10005,F6,770.8227
P10005,G1,630.2327
P10005,G2,618.2775
P10005,G3,664.2988
P10005,G4,810.5651
P10005,G5,602.5340
P10005,G6,583.6504
P10005,H1,636.0168
P10005,H2,647.0505
P10005,H3,624.6877
P10005,H4,739.6423
P10005,H5,611.5319
P10005,H6,617.6945
P10006,A1,65.8613
P10006,A2,65.4792
P10006,A3,63.2687
P10006,A4,54.9048
P10006,A5,64.7832
P10006,A6,69.3368
P10006,B1,63.9702
