well,strain,cmpd,dose,time,rep
P1_A1,WT,drugA,1.25,0,1
P1_A2,WT,drugA,1.25,0,2
P1_A3,WT,drugA,1.25,0,3
P1_A4,WT,drugA,2.5,0,1
P1_A5,WT,drugA,2.5,0,2
P1_A6,WT,drugA,2.5,0,3
P1_A7,WT,drugA,5,0,1
P1_A8,WT,drugA,5,0,2
P1_A9,WT,drugA,5,0,3
P1_A10,WT,drugA,10,0,1
P1_A11,WT,drugA,10,0,2
P1_A12,WT,drugA,10,0,3
P1_B1,WT,drugA,20,0,1
P1_B2,WT,drugA,20,0,2
P1_B3,WT,drugA,20,0,3
P1_B4,WT,drugA,40,0,1
P1_B5,WT,drugA,40,0,2
P1_B6,WT,drugA,40,0,3
P1_B7,WT,drugA,80,0,1
P1_B8,WT,drugA,80,0,2
P1_B9,WT,drugA,80,0,3
P1_B10,WT,drugB,1.25,0,1
P1_B11,WT,drugB,1.25,0,2
P1_B12,WT,drugB,1.25,0,3
P1_C1,WT,drugB,2.5,0,1
P1_C2,WT,drugB,2.5,0,2
P1_C3,WT,drugB,2.5,0,3
P1_C4,WT,drugB,5,0,1
P1_C5,WT,drugB,5,0,2
P1_C6,WT,drugB,5,0,3
P1_C7,WT,drugB,10,0,1
P1_C8,WT,drugB,10,0,2
P1_C9,WT,drugB,10,0,3
P1_C10,WT,drugB,20,0,1
P1_C11,WT,drugB,20,0,2
P1_C12,WT,drugB,20,0,3
P1_D1,WT,drugB,40,0,1
P1_D2,WT,drugB,40,0,2
P1_D3,WT,drugB,40,0,3
P1_D4,WT,drugB,80,0,1
P1_D5,WT,drugB,80,0,2
P1_D6,WT,drugB,80,0,3
P1_D7,WT,DMSO,0,0,1
P1_D8,WT,DMSO,0,0,2
P1_D9,WT,DMSO,0,0,3
P1_D10,WT,drugA,1.25,2,1
P1_D11,WT,drugA,1.25,2,2
P1_D12,WT,drugA,1.25,2,3
P1_E1,WT,drugA,2.5,2,1
P1_E2,WT,drugA,2.5,2,2
P1_E3,WT,drugA,2.5,2,3
P1_E4,WT,drugA,5,2,1
P1_E5,WT,drugA,5,2,2
P1_E6,WT,drugA,5,2,3
P1_E7,WT,drugA,10,2,1
P1_E8,WT,drugA,10,2,2
P1_E9,WT,drugA,10,2,3
P1_E10,WT,drugA,20,2,1
P1_E11,WT,drugA,20,2,2
P1_E12,WT,drugA,20,2,3
P1_F1,WT,drugA,40,2,1
P1_F2,WT,drugA,40,2,2
P1_F3,WT,drugA,40,2,3
P1_F4,WT,drugA,80,2,1
P1_F5,WT,drugA,80,2,2
P1_F6,WT,drugA,80,2,3
P1_F7,WT,drugB,1.25,2,1
P1_F8,WT,drugB,1.25,2,2
P1_F9,WT,drugB,1.25,2,3
P1_F10,WT,drugB,2.5,2,1
P1_F11,WT,drugB,2.5,2,2
