uniqID,strain,cmpd,dose,time,cmp_cond,comparison,mean1,mean2,sd1,sd2,log2FC,pP,pQ,thrsh,signf,effect
g0001,WT,drugA,1.25,0,cmpd,drugA | DMSO,119.57615909312692,119.9223835683583,4.3492703696803865,15.35491745338707,-0.00417118764777058,0.011895945989442902,0.005574849507535714,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0002,WT,drugA,1.25,0,cmpd,drugA | DMSO,1174.6069951599416,1155.0426929934908,137.24578255577822,102.41113919066319,0.02423195678095169,0.06899299677571322,0.010459680928219342,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0003,WT,drugA,1.25,0,cmpd,drugA | DMSO,376.79882052154903,378.1030689699488,52.28560155458151,37.210514537596204,-0.004985110428240347,0.011532343226459362,0.005574849507535714,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0004,WT,drugA,1.25,0,cmpd,drugA | DMSO,806.8367500514689,821.214919613051,138.74008443436173,58.25744213178403,-0.025483040411996782,0.05500419874419233,0.010459680928219342,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0005,WT,drugA,1.25,0,cmpd,drugA | DMSO,364.5159914847893,339.6430973972182,21.94827631390775,49.473652456240494,0.10196257319839752,0.3006584535939131,0.01241913387020083,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0006,WT,drugA,1.25,0,cmpd,drugA | DMSO,201.07013861701927,198.2010044833922,11.819553465597211,28.0031729632964,0.020734565507807723,0.05439139455709502,0.010459680928219342,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0007,WT,drugA,1.25,0,cmpd,drugA | DMSO,1103.139198610095,1088.8052505729804,145.82581460803263,233.86775472486505,0.01886891845317784,0.02339811805070491,0.005574849507535714,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0008,WT,drugA,1.25,0,cmpd,drugA | DMSO,583.488745610964,643.3465777714039,15.530755454273553,46.466624047837044,-0.14089131306343994,0.88007888366944,0.01241913387020083,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0009,WT,drugA,1.25,0,cmpd,drugA | DMSO,462.4432128153588,480.82998178607534,82.54822572385564,44.543724010588086,-0.056250640819659026,0.11969700764199932,0.01241913387020083,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0010,WT,drugA,1.25,0,cmpd,drugA | DMSO,24.52251946794719,27.231318020982346,4.39379304191896,4.25064441743508,-0.15115960128467787,0.31126057495306686,0.01241913387020083,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
