uniqID,strain,cmpd,dose,time,cmp_cond,comparison,mean1,mean2,sd1,sd2,log2FC,pP,pQ,thrsh,signf,effect
g0001,WT,drugA,2.5,6,cmpd,drugA | DMSO,148.20982590609364,134.11682444994113,25.79103251471274,13.089849859559756,0.1441508683015682,0.34983890803621714,0.07191513164958019,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0002,WT,drugA,2.5,6,cmpd,drugA | DMSO,1523.2646093606718,1088.6108516568936,134.96189261709745,86.27996756825901,0.4846782545135149,2.0793914462749927,0.41773023083376504,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0003,WT,drugA,2.5,6,cmpd,drugA | DMSO,508.30845470353137,417.6917526271824,19.804683817372823,68.32208251944678,0.28326556975954986,0.7763453045851779,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0004,WT,drugA,2.5,6,cmpd,drugA | DMSO,725.9567035622956,847.3304514864806,97.39896613650821,88.48023954588997,-0.2230412100826804,0.710847365720998,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0005,WT,drugA,2.5,6,cmpd,drugA | DMSO,682.3357979160521,633.1907060770251,60.28919804506109,31.58245632966713,0.10784182765435091,0.5410256101555935,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0006,WT,drugA,2.5,6,cmpd,drugA | DMSO,64.85958887534463,63.70689048346706,1.4076328798297493,6.8607630770591,0.02587045743199745,0.09572667985619972,0.017999718124494104,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0007,WT,drugA,2.5,6,cmpd,drugA | DMSO,112.11406307347494,102.30401853542942,8.582058928784493,5.743904183996154,0.13210443880700318,0.7532400129951614,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0008,WT,drugA,2.5,6,cmpd,drugA | DMSO,989.3915928647239,1054.4630771267161,102.47535304841743,157.61517969078105,-0.09189503320745729,0.23612734010411082,0.04830222555242109,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0009,WT,drugA,2.5,6,cmpd,drugA | DMSO,1073.6206378587215,1101.6223498651768,48.756338597338285,195.22309307728702,-0.03714542510443586,0.08208998254009485,0.017999718124494104,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0010,WT,drugA,2.5,6,cmpd,drugA | DMSO,105.59487229069589,96.36524731498073,3.817212996488121,5.852543731586965,0.13195491984606367,0.9840980132615208,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0011,WT,drugA,2.5,6,cmpd,drugA | DMSO,654.0061767296733,581.2557448956761,21.814374612735485,90.64644858947388,0.17013119106091068,0.49556398267652213,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0012,WT,drugA,2.5,6,cmpd,drugA | DMSO,508.91714867352033,513.5203119351938,123.30539197959745,13.271129431605843,-0.012990536704066358,0.02014578579619415,0.009332916513976684,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0013,WT,drugA,2.5,6,cmpd,drugA | DMSO,156.07609953520603,160.24603208188964,16.889247596502557,24.88607396691607,-0.038039004695754386,0.06683399526902081,0.012415041733760129,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0014,WT,drugA,2.5,6,cmpd,drugA | DMSO,2826.1218935162938,2478.592422857564,154.08983995471107,407.060074399794,0.1893026362544976,0.5241944131981985,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0015,WT,drugA,2.5,6,cmpd,drugA | DMSO,389.2365936502208,386.09428485742967,42.99988856754809,39.45569139233491,0.011694150870502185,0.03143157517968075,0.011091877351670762,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0016,WT,drugA,2.5,6,cmpd,drugA | DMSO,680.4570813523056,632.0733504443017,86.3154943249822,73.04010413097387,0.10641218004691666,0.30254647287226355,0.06342245240212946,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0017,WT,drugA,2.5,6,cmpd,drugA | DMSO,842.9292461022072,754.8704508257408,56.50624674051195,43.631629946347445,0.15918246554456594,1.0066973385562854,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0018,WT,drugA,2.5,6,cmpd,drugA | DMSO,41.29942563001582,33.359699321186945,1.599304398366981,2.2649121400101793,0.30801543207347404,1.0280786753203819,0.11781010370131502,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0019,WT,drugA,2.5,6,cmpd,drugA | DMSO,279.96160036859,291.93453712524797,23.42542746574293,67.45803542186152,-0.060415937852637214,0.10208744704362718,0.019103538188451726,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0020,WT,drugA,2.5,6,cmpd,drugA | DMSO,437.84652594490836,507.6946422939222,70.01238520687559,83.0582793997036,-0.21353577070555296,0.48784484067123957,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0021,WT,drugA,2.5,6,cmpd,drugA | DMSO,313.78385572938794,295.20750566860573,65.0692095720746,14.19653372605876,0.08804172466322235,0.1760996780554975,0.03390646067334664,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0022,WT,drugA,2.5,6,cmpd,drugA | DMSO,928.324237967314,991.595895247236,150.83000161668872,30.826833884589863,-0.09512351251417783,0.2541131587870939,0.05411294175803551,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0023,WT,drugA,2.5,6,cmpd,drugA | DMSO,3398.7149157077356,3511.8327110221417,328.65182258418974,301.9362500592175,-0.04723476891215128,0.16486893743018421,0.03390646067334664,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0024,WT,drugA,2.5,6,cmpd,drugA | DMSO,552.7844016340024,566.0153607843304,68.53825091781486,40.87176338385539,-0.03412429950386908,0.10091993794595011,0.019103538188451726,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0025,WT,drugA,2.5,6,cmpd,drugA | DMSO,328.2086690354244,412.23897667605956,21.0475296329309,14.643314593218454,-0.32886757080310325,1.9464745623337634,0.41773023083376504,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0026,WT,drugA,2.5,6,cmpd,drugA | DMSO,850.635098061313,774.6342700281418,42.32019629303145,100.95025112929129,0.13502505524876085,0.46641312135597685,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0027,WT,drugA,2.5,6,cmpd,drugA | DMSO,43.13041229918913,39.96406602168009,2.3499911514546348,3.2924344120192677,0.11000213418857818,0.5814705548619467,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0028,WT,drugA,2.5,6,cmpd,drugA | DMSO,1124.7820287651766,1476.2320031381553,111.5682013959639,107.59003245812839,-0.39227402271078304,1.6602618973211682,0.3868133095853154,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0029,WT,drugA,2.5,6,cmpd,drugA | DMSO,1193.1957994732468,1129.3653374404896,49.84581509872916,97.00306062992793,0.07931854611599576,0.4038278405166573,0.09561926022555273,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0030,WT,drugA,2.5,6,cmpd,drugA | DMSO,709.289428017426,642.2825259971625,65.79931534254905,82.83788947507888,0.14316639746281368,0.46112807941909634,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0031,WT,drugA,2.5,6,cmpd,drugA | DMSO,866.718090697444,828.1896479576415,109.99452874534151,108.80941682907486,0.06560164809248725,0.1620358564838756,0.03390646067334664,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0032,WT,drugA,2.5,6,cmpd,drugA | DMSO,602.1558502451638,650.202246675242,37.260051340208065,96.24711581102291,-0.11075160676322149,0.32367128005987794,0.06661666216756403,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0033,WT,drugA,2.5,6,cmpd,drugA | DMSO,436.8817069321194,444.83321908544826,52.61056495443394,9.916972486800715,-0.02602183045243578,0.08559140765812966,0.017999718124494104,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0034,WT,drugA,2.5,6,cmpd,drugA | DMSO,3975.1273507885394,3429.414580512816,255.86110727876297,178.93587072689968,0.21303875900115976,1.4111354693191744,0.29481241526698293,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0035,WT,drugA,2.5,6,cmpd,drugA | DMSO,664.2884377299965,637.1028827853546,86.17089176303502,45.253607355789825,0.060283438396089295,0.13553353667519424,0.024577173258157885,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0036,WT,drugA,2.5,6,cmpd,drugA | DMSO,563.0064030610936,615.5761300866287,41.94500791346246,46.15849961848477,-0.12878595988454755,0.6628051997066913,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0037,WT,drugA,2.5,6,cmpd,drugA | DMSO,248.98807637187022,207.06102495975054,48.098416784307396,37.73406379020624,0.26602063464376524,0.5292158894377728,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0038,WT,drugA,2.5,6,cmpd,drugA | DMSO,106.63428936546717,69.58032112889892,8.217022182287343,10.631847056377108,0.6159201838561446,1.628075100245807,0.3868133095853154,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0039,WT,drugA,2.5,6,cmpd,drugA | DMSO,468.33645565415065,433.9798232716981,36.12357452171982,38.313844161735055,0.10991737285987213,0.48901041103679266,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0040,WT,drugA,2.5,6,cmpd,drugA | DMSO,263.20708104937484,224.87432996554236,16.30244329452381,25.371178853324995,0.2270793195250942,0.9160331314318217,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0041,WT,drugA,2.5,6,cmpd,drugA | DMSO,99.92841717719742,111.4393624438153,12.203843573421622,11.337825513562287,-0.15729200090392137,0.3878973167691836,0.09158795977778676,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0042,WT,drugA,2.5,6,cmpd,drugA | DMSO,292.98625943322344,313.1234215240154,8.525920629462881,16.193494757359005,-0.09589841936108101,0.8438532044395454,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0043,WT,drugA,2.5,6,cmpd,drugA | DMSO,605.5335655900049,726.7053216483821,90.56437137238791,62.65858308948876,-0.26316353840565476,0.7987470926663183,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0044,WT,drugA,2.5,6,cmpd,drugA | DMSO,249.22679330498394,329.1831948186174,23.191621804903246,30.9838914658332,-0.40143151173181923,1.658659521770557,0.3868133095853154,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0045,WT,drugA,2.5,6,cmpd,drugA | DMSO,561.4995528786905,623.6029880641788,28.175839364328233,21.696395131737816,-0.15134296707827133,1.3245834349832344,0.2312655714509026,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0046,WT,drugA,2.5,6,cmpd,drugA | DMSO,188.64320931983923,159.17303422438337,11.75658711474357,30.210877826612485,0.24506422054586618,0.5894218161855346,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0047,WT,drugA,2.5,6,cmpd,drugA | DMSO,271.4019897848828,256.51077696491905,4.512641526602484,32.541514798140014,0.08141185786904082,0.28197359198391525,0.060093396943878316,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0048,WT,drugA,2.5,6,cmpd,drugA | DMSO,728.2459150132189,868.4596501414846,64.59568482516487,76.73553353306323,-0.25403311704343423,0.8349220185318473,0.11486211007264371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0049,WT,drugA,2.5,6,cmpd,drugA | DMSO,206.11980760571709,250.47261832930917,11.923182333106103,27.102516674284956,-0.2811697456170794,1.1598609318724993,0.16122155956478787,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0050,WT,drugA,2.5,6,cmpd,drugA | DMSO,557.6901021795187,578.7577219109565,34.72977608038966,98.20185523690223,-0.05349587083286522,0.1250248048036462,0.024577173258157885,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0051,WT,drugA,2.5,6,cmpd,drugA | DMSO,350.46950511495777,359.7632060882804,31.275714306501385,8.093839101636195,-0.037758727382511736,0.1764059375027836,0.03390646067334664,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
g0052,WT,drugA,2.5,6,cmpd,drugA | DMSO,470.1768229611266,500.4483686279955,54.68399296508109,58.78831516435824,-0.090017809466449,0.26047269942122653,0.05411294175803551,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",false,none
