uniqID,strain,cmpd,dose,time,rep,value,peptides
g0001,WT,drugA,1.25,0,1,122.7753,
g0001,WT,drugA,1.25,0,2,121.3937,
g0001,WT,drugA,1.25,0,3,114.7167,
g0001,WT,drugA,2.5,0,1,151.0482,
g0001,WT,drugA,2.5,0,2,120.6131,
g0001,WT,drugA,2.5,0,3,111.0229,
g0001,WT,drugA,5,0,1,85.1069,
g0001,WT,drugA,5,0,2,102.7915,
g0001,WT,drugA,10,0,1,124.0581,
g0001,WT,drugA,10,0,2,133.8666,
g0001,WT,drugA,10,0,3,118.3797,
g0001,WT,drugA,20,0,1,123.3074,
g0001,WT,drugA,20,0,2,117.157,
g0001,WT,drugA,20,0,3,119.0175,
g0001,WT,drugA,40,0,1,125.1207,
g0001,WT,drugA,40,0,2,100.4066,
g0001,WT,drugA,40,0,3,111.7656,
g0001,WT,drugA,80,0,1,121.0548,
g0001,WT,drugA,80,0,2,135.1723,
g0001,WT,drugA,80,0,3,128.502,
g0001,WT,drugB,1.25,0,1,120.6193,
g0001,WT,drugB,1.25,0,2,107.9008,
g0001,WT,drugB,1.25,0,3,116.9929,
g0001,WT,drugB,2.5,0,1,144.6756,
g0001,WT,drugB,2.5,0,2,101.8805,
g0001,WT,drugB,2.5,0,3,105.8123,
g0001,WT,drugB,5,0,1,114.7544,
g0001,WT,drugB,5,0,2,109.737,
g0001,WT,drugB,5,0,3,123.7455,
g0001,WT,drugB,10,0,1,122.1906,
g0001,WT,drugB,10,0,2,123.175,
g0001,WT,drugB,10,0,3,124.4607,
g0001,WT,drugB,20,0,1,91.3362,
g0001,WT,drugB,20,0,2,118.4725,
g0001,WT,drugB,20,0,3,103.3051,
g0001,WT,drugB,40,0,1,100.3437,
g0001,WT,drugB,40,0,2,94.7096,
g0001,WT,drugB,40,0,3,114.5756,
g0001,WT,drugB,80,0,1,111.9163,
g0001,WT,drugB,80,0,2,106.2484,
g0001,WT,drugB,80,0,3,113.7371,
g0001,WT,DMSO,0,0,1,123.9557,
g0001,WT,DMSO,0,0,2,133.6333,
g0001,WT,DMSO,0,0,3,104.1165,
g0001,WT,drugA,1.25,2,1,122.1344,
g0001,WT,drugA,1.25,2,2,153.9389,
g0001,WT,drugA,1.25,2,3,123.9056,
g0001,WT,drugA,2.5,2,1,121.869,
g0001,WT,drugA,2.5,2,2,118.3001,
g0001,WT,drugA,2.5,2,3,107.9061,
g0001,WT,drugA,5,2,1,118.8796,
g0001,WT,drugA,5,2,2,135.6968,
g0001,WT,drugA,5,2,3,98.2725,
g0001,WT,drugA,10,2,1,94.9207,
g0001,WT,drugA,10,2,2,101.8644,
g0001,WT,drugA,10,2,3,105.1444,
g0001,WT,drugA,20,2,1,118.3827,
g0001,WT,drugA,20,2,2,106.8515,
g0001,WT,drugA,20,2,3,124.8314,
g0001,WT,drugA,40,2,1,109.5886,
g0001,WT,drugA,40,2,2,140.1873,
g0001,WT,drugA,40,2,3,121.8485,
g0001,WT,drugA,80,2,1,148.943,
g0001,WT,drugA,80,2,2,144.6363,
g0001,WT,drugA,80,2,3,122.3002,
g0001,WT,drugB,1.25,2,1,113.4508,
g0001,WT,drugB,1.25,2,2,111.9154,
g0001,WT,drugB,1.25,2,3,101.5076,
g0001,WT,drugB,2.5,2,1,112.3324,
g0001,WT,drugB,2.5,2,2,113.8932,
g0001,WT,drugB,2.5,2,3,106.4126,
g0001,WT,drugB,5,2,1,103.3803,
g0001,WT,drugB,5,2,2,99.0071,
g0001,WT,drugB,5,2,3,122.6318,
g0001,WT,drugB,10,2,2,126.4484,
g0001,WT,drugB,10,2,3,109.7706,
g0001,WT,drugB,20,2,1,117.1403,
g0001,WT,drugB,20,2,2,106.4667,
g0001,WT,drugB,20,2,3,104.0289,
g0001,WT,drugB,40,2,1,129.4172,
g0001,WT,drugB,40,2,2,112.4763,
g0001,WT,drugB,40,2,3,119.2773,
g0001,WT,drugB,80,2,1,123.2668,
g0001,WT,drugB,80,2,2,146.1275,
g0001,WT,drugB,80,2,3,129.5416,
g0001,WT,DMSO,0,2,1,123.015,
g0001,WT,DMSO,0,2,2,95.7114,
g0001,WT,DMSO,0,2,3,106.9559,
g0001,WT,drugA,1.25,4,1,120.146,
g0001,WT,drugA,1.25,4,2,145.6033,
g0001,WT,drugA,1.25,4,3,136.5777,
g0001,WT,drugA,2.5,4,1,112.1105,
g0001,WT,drugA,2.5,4,2,98.0951,
g0001,WT,drugA,2.5,4,3,111.5575,
g0001,WT,drugA,5,4,1,120.6574,
g0001,WT,drugA,5,4,2,114.9231,
g0001,WT,drugA,5,4,3,126.4684,
g0001,WT,drugA,10,4,1,107.5167,
g0001,WT,drugA,10,4,2,116.6118,
g0001,WT,drugA,10,4,3,111.6286,
g0001,WT,drugA,20,4,1,122.5516,
g0001,WT,drugA,20,4,2,136.5402,
g0001,WT,drugA,20,4,3,123.5278,
g0001,WT,drugA,40,4,1,114.5297,
g0001,WT,drugA,40,4,2,123.2917,
g0001,WT,drugA,40,4,3,127.5058,
g0001,WT,drugA,80,4,1,147.1252,
g0001,WT,drugA,80,4,2,177.5066,
g0001,WT,drugA,80,4,3,138.8298,
g0001,WT,drugB,1.25,4,1,125.1069,
g0001,WT,drugB,1.25,4,2,103.8962,
g0001,WT,drugB,1.25,4,3,113.8759,
g0001,WT,drugB,2.5,4,1,136.6493,
g0001,WT,drugB,2.5,4,2,119.6682,
g0001,WT,drugB,2.5,4,3,117.7906,
g0001,WT,drugB,5,4,1,107.8458,
g0001,WT,drugB,5,4,2,103.0654,
g0001,WT,drugB,5,4,3,124.5283,
g0001,WT,drugB,10,4,1,122.0985,
g0001,WT,drugB,10,4,2,102.2377,
g0001,WT,drugB,10,4,3,119.2781,
g0001,WT,drugB,20,4,1,142.2314,
g0001,WT,drugB,20,4,2,139.0084,
g0001,WT,drugB,20,4,3,129.3724,
g0001,WT,drugB,40,4,1,138.4102,
g0001,WT,drugB,40,4,2,139.8953,
g0001,WT,drugB,40,4,3,151.4756,
g0001,WT,drugB,80,4,1,175.4134,
g0001,WT,drugB,80,4,2,131.6987,
g0001,WT,drugB,80,4,3,187.4867,
g0001,WT,DMSO,0,4,1,142.9631,
g0001,WT,DMSO,0,4,2,114.5138,
g0001,WT,DMSO,0,4,3,112.8239,
g0001,WT,drugA,1.25,8,1,125.6303,
g0001,WT,drugA,1.25,8,2,110.4597,
g0001,WT,drugA,1.25,8,3,123.3146,
g0001,WT,drugA,2.5,8,1,114.169,
g0001,WT,drugA,2.5,8,2,97.8874,
g0001,WT,drugA,2.5,8,3,127.395,
g0001,WT,drugA,5,8,1,126.1836,
g0001,WT,drugA,5,8,2,104.9076,
g0001,WT,drugA,5,8,3,119.0911,
g0001,WT,drugA,10,8,1,120.2034,
g0001,WT,drugA,10,8,2,117.7551,
g0001,WT,drugA,10,8,3,130.6128,
g0001,WT,drugA,20,8,1,161.1656,
g0001,WT,drugA,20,8,3,133.3356,
g0001,WT,drugA,40,8,1,149.9472,
