uniqID,GeneID,locus_tag,UniProtID,type,localz,gene,product,KG_FG,KG_FM,KG_PC,KG_PG,KG_PW,UP_FM,UP_PW,UP_KW
g0001,885041,Rv0001,P9WNW3,CDS,Cytoplasmic,dnaA,Chromosomal replication initiator protein DnaA,genetic information processing,DNA replication proteins; Chromosome and associated proteins,Environmental Information Processing,Signal transduction,Two-component system,DnaA family,,3D-structure;ATP-binding;Cell membrane;Cell wall;Cytoplasm;DNA replication;DNA-binding;Hydrolase;Lipid-binding;Membrane;Nucleotide-binding;Reference proteome;Secreted
g0002,887092,Rv0002,P9WNU1,CDS,Cytoplasmic,dnaN,Beta sliding clamp,genetic information processing,DNA replication proteins; DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination,beta sliding clamp family,,3D-structure;Antibiotic resistance;Cytoplasm;DNA replication;DNA-binding;DNA-directed DNA polymerase;Nucleotidyltransferase;Reference proteome;Transferase
g0003,887089,Rv0003,P9WHI9,CDS,Cytoplasmic,recF,DNA replication and repair protein RecF,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Homologous recombination,RecF family,,ATP-binding;Cytoplasm;DNA damage;DNA repair;DNA replication;DNA-binding;Nucleotide-binding;Reference proteome;SOS response
g0004,887088,Rv0004,P9WFL1,CDS,Cytoplasmic,,UPF0232 protein Rv0004,,,,,,UPF0232 family,,Reference proteome
g0005,887081,Rv0005,P9WG45,CDS,Cytoplasmic,gyrB,DNA gyrase subunit B,genetic information processing,DNA replication proteins; DNA repair and recombination proteins,,,,type II topoisomerase GyrB family,,3D-structure;Antibiotic resistance;ATP-binding;Cytoplasm;DNA-binding;Isomerase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Topoisomerase
g0006,887105,Rv0006,P9WG47,CDS,Cytoplasmic,gyrA,DNA gyrase subunit A,genetic information processing,DNA replication proteins; DNA repair and recombination proteins,,,,type II topoisomerase GyrA/ParC subunit family,,3D-structure;Acetylation;Antibiotic resistance;ATP-binding;Calcium;Cytoplasm;DNA-binding;Isomerase;Metal-binding;Nucleotide-binding;Reference proteome;Topoisomerase
g0007,885982,Rv0007,P9WMA7,CDS,Plasma Membrane,,Uncharacterized protein Rv0007,,,,,,To M.leprae ML0007,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0008,887085,Rv0008c,P9WJF3,CDS,Plasma Membrane,cwsA,Cell wall synthesis protein CwsA,,,,,,CwsA family,,Cell cycle;Cell division;Cell membrane;Cell shape;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0009,887087,Rv0009,P9WHW3,CDS,Cytoplasmic,ppiA,Peptidyl-prolyl cis-trans isomerase A,genetic information processing; signaling and cellular processes,Chaperones and folding catalysts; Exosome,Genetic Information Processing; Human Diseases,Information processing in viruses; Drug resistance: antimicrobial,Viral life cycle - HIV-1; Cationic antimicrobial peptide (CAMP) resistance,cyclophilin-type PPIase family,,3D-structure;Cytoplasm;Isomerase;Reference proteome;Rotamase
g0010,887082,Rv0010c,P9WMA3,CDS,Plasma Membrane,,Uncharacterized protein Rv0010c,,,,,,,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g0011,887074,Rv0011c,P9WP57,CDS,Plasma Membrane,crgA,Cell division protein CrgA,,,,,,CrgA family,,3D-structure;Cell cycle;Cell division;Cell membrane;Cell shape;Membrane;Reference proteome;Transmembrane;Transmembrane helix
