uniqID,cmpd,log2FC,pP,pQ,signf,effect,comparison
g00,A,0.00024603067149651486,0.00024603067149651486,0.0001968245371972119,False,none,A | DMSO
g01,A,0.05974910750169398,0.05974910750169398,0.04779928600135519,False,none,A | DMSO
g02,A,3.5,3.5,2.8000000000000003,True,up,A | DMSO
g03,A,-0.17811836775145484,0.17811836775145484,0.14249469420116387,False,none,A | DMSO
g04,A,-0.09093415703434451,0.09093415703434451,0.07274732562747561,False,none,A | DMSO
g05,A,-3.0,3.0,2.4000000000000004,True,down,A | DMSO
g06,A,0.012028720519487697,0.012028720519487697,0.009622976415590158,False,none,A | DMSO
g07,A,0.2680430491109067,0.2680430491109067,0.21443443928872538,False,none,A | DMSO
g08,A,-0.09844130371026594,0.09844130371026594,0.07875304296821276,False,none,A | DMSO
g09,A,-0.12409497996398809,0.12409497996398809,0.09927598397119047,True,down,A | DMSO
g10,A,0.09796841003703965,0.09796841003703965,0.07837472802963173,False,none,A | DMSO
g11,A,0.07137740163201216,0.07137740163201216,0.05710192130560973,False,none,A | DMSO
g12,A,0.021082849799579712,0.021082849799579712,0.01686627983966377,False,none,A | DMSO
g13,A,-0.18609360894164095,0.18609360894164095,0.14887488715331276,False,none,A | DMSO
g14,A,-0.0058503644926546985,0.0058503644926546985,0.004680291594123759,False,none,A | DMSO
g15,A,0.13906063889165757,0.13906063889165757,0.11124851111332607,False,none,A | DMSO
g00,B,-0.2688429094570164,0.2688429094570164,0.21507432756561312,False,none,B | DMSO
g01,B,-0.09152315220804363,0.09152315220804363,0.07321852176643491,False,none,B | DMSO
g02,B,-0.3802445479601688,0.3802445479601688,0.30419563836813507,True,down,B | DMSO
g03,B,-0.2579075479569952,0.2579075479569952,0.20632603836559618,False,none,B | DMSO
g04,B,-0.3683470075583465,0.3683470075583465,0.2946776060466772,False,none,B | DMSO
g05,B,-0.04701822621493626,0.04701822621493626,0.03761458097194901,True,down,B | DMSO
g06,B,-0.2534892962887407,0.2534892962887407,0.20279143703099256,False,none,B | DMSO
g07,B,0.05425287176434031,0.05425287176434031,0.04340229741147225,False,none,B | DMSO
g08,B,0.03135021732484503,0.03135021732484503,0.02508017385987603,False,none,B | DMSO
g09,B,3.2,3.2,2.5600000000000005,True,up,B | DMSO
g10,B,-0.5033519421641026,0.5033519421641026,0.4026815537312821,False,none,B | DMSO
g11,B,-0.10773857916932733,0.10773857916932733,0.08619086333546187,False,none,B | DMSO
g12,B,-0.009700189080214397,0.009700189080214397,0.007760151264171518,False,none,B | DMSO
g13,B,0.022661797200661513,0.022661797200661513,0.01812943776052921,False,none,B | DMSO
g14,B,-0.30602715310107875,0.30602715310107875,0.244821722480863,False,none,B | DMSO
g15,B,-0.09555065520678613,0.09555065520678613,0.0764405241654289,False,none,B | DMSO
