UniProtID,peptides,well,value
A0A089QKZ7,2,A1,9.248416901
A0A089QKZ7,2,A2,
A0A089QKZ7,2,A3,5.801034927
A0A089QKZ7,2,A4,21.79184341
A0A089QKZ7,2,A5,24.42641068
A0A089QKZ7,2,A6,17.50643921
A0A089QKZ7,2,A7,137.5836792
A0A089QKZ7,2,A8,57.03365326
A0A089QKZ7,2,A9,5.371068954
A0A089QKZ7,2,A10,17.84466171
A0A089QKZ7,2,A11,13.97819519
A0A089QKZ7,2,A12,12.82297802
A0A089QKZ7,2,B1,15.67320538
A0A089QKZ7,2,B2,
A0A089QKZ7,2,B3,13.71748734
A0A089QKZ7,2,B4,5.567368984
A0A089QKZ7,2,B5,
A0A089QKZ7,2,B6,2.466981649
A0A089QKZ7,2,B7,14.55288219
A0A089QKZ7,2,B8,24.35826492
A0A089QKZ7,2,B9,10.23497963
A0A089QKZ7,2,B10,200.7505646
A0A089QKZ7,2,B11,9.478336334
A0A089QKZ7,2,B12,34.13327408
A0A089QKZ7,2,C1,32.87664413
A0A089QKZ7,2,C2,5.898053646
A0A089QKZ7,2,C3,6.479154587
A0A089QKZ7,2,C4,
A0A089QKZ7,2,C5,3.904714823
A0A089QKZ7,2,C6,11.81684113
A0A089QKZ7,2,C7,2.108548403
A0A089QKZ7,2,C8,2.53263998
A0A089QKZ7,2,C9,84.97489166
A0A089QKZ7,2,C10,3.741825342
A0A089QKZ7,2,C11,54.00919724
A0A089QKZ7,2,C12,28.26119232
A0A089QKZ7,2,D1,28.28539467
A0A089QKZ7,2,D2,6.501648903
A0A089QKZ7,2,D3,2.848433495
A0A089QRB9,84,A1,322.8649597
A0A089QRB9,84,A2,392.9540405
A0A089QRB9,84,A3,371.4241028
A0A089QRB9,84,A4,292.5583801
A0A089QRB9,84,A5,327.9518738
A0A089QRB9,84,A6,293.90802
A0A089QRB9,84,A7,428.0709839
A0A089QRB9,84,A8,495.5571594
A0A089QRB9,84,A9,307.0367737
A0A089QRB9,84,A10,351.2462769
A0A089QRB9,84,A11,390.0846252
A0A089QRB9,84,A12,442.4369812
A0A089QRB9,84,B1,249.0167694
A0A089QRB9,84,B2,247.2155914
A0A089QRB9,84,B3,336.6618042
A0A089QRB9,84,B4,315.8813782
A0A089QRB9,84,B5,315.7553711
A0A089QRB9,84,B6,163.7675934
A0A089QRB9,84,B7,282.8955078
A0A089QRB9,84,B8,312.4273376
A0A089QRB9,84,B9,276.2635193
A0A089QRB9,84,B10,291.7875366
A0A089QRB9,84,B11,338.2254333
A0A089QRB9,84,B12,340.2876892
A0A089QRB9,84,C1,347.4583435
