uniqID,dose,time,cmp_cond,cmp1,cmp2,comparison,FC1,FC2,FCdiff,P1,P2,Pdiff,Q1,Q2,Qdiff,signf1,signf2,effect1,effect2,thrsh,signf,effect
g0159,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1106856760638486,0.0964167730873839,0.0142689029764647,0.2329482896953426,0.2119910181440559,0.020957271551286683,0.1064912479220958,0.022934781924007,0.0835564659980888,False,False,none,none,"ols prediction, 99%",False,none
g0159,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1976513407853932,-0.1102832977477099,0.3079346385331031,0.471095335004403,0.2479358695135973,0.22315946549080568,0.2726190249041051,0.0694642206655821,0.203154804238523,False,False,none,none,"ols prediction, 99%",False,none
g0619,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.3925307577440078,-0.3387758898848654,-0.05375486785914241,0.5900907160235442,0.5087598967474659,0.08133081927607833,0.1532206666026968,0.022934781924007,0.1302858846786898,False,False,none,none,"ols prediction, 99%",False,none
g0619,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.6033011705666054,-0.7957406392382103,0.19243946867160489,0.7949551476046783,1.176720139114665,-0.3817649915099868,0.2883507869918377,0.3238460280227042,-0.03549524103086649,False,False,none,none,"ols prediction, 99%",False,none
g0663,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.0716568662831438,-0.0755083344340707,0.0038514681509269066,0.2961514592068183,0.3208184306560763,-0.024666971449258,0.1064912479220958,0.022934781924007,0.0835564659980888,False,False,none,none,"ols prediction, 99%",False,none
g0663,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1220151729046801,0.165492230762025,-0.04347705785734489,0.5232622302023316,0.7233817290525346,-0.20011949885020297,0.2726190249041051,0.3238460280227042,-0.05122700311859907,False,False,none,none,"ols prediction, 99%",False,none
g0706,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.273071631642189,0.1130542905440714,-0.3861259221862604,0.4571955154252025,0.1365723782808453,0.3206231371443572,0.1298365810388721,0.0009535818768497,0.1288829991620224,False,False,none,none,"ols prediction, 99%",False,none
g0706,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.2375186697632481,-0.0807631267342303,-0.15675554302901779,0.2993901127416764,0.1178994594039593,0.18149065333771708,0.1828845436702392,0.0694642206655821,0.11342032300465711,False,False,none,none,"ols prediction, 99%",False,none
g0741,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.0440545228971762,0.049155474673161,-0.0932099975703372,0.1745705436462586,0.0833436022190409,0.0912269414272177,0.1064912479220958,0.0009535818768497,0.1055376660452461,False,False,none,none,"ols prediction, 99%",False,none
g0741,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.0165562585735425,0.2811806080899552,-0.2977368666634977,0.0708773541101012,1.401122874728449,-1.3302455206183479,0.0708773541101012,0.3238460280227042,-0.25296867391260297,False,False,none,none,"ols prediction, 99%",False,none
g0772,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.0926549147601187,-0.0006964675821068,0.0933513823422255,0.1375798535101765,0.0009535818768497,0.13662627163332677,0.1064912479220958,0.0009535818768497,0.1055376660452461,False,False,none,none,"ols prediction, 99%",False,none
g0772,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.080552152908341,0.1273938405189039,-0.0468416876105629,0.1171082956275515,0.1920187317662273,-0.0749104361386758,0.0708773541101012,0.0694642206655821,0.001413133444519099,False,False,none,none,"ols prediction, 99%",False,none
g0791,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-3.244523168498209,-0.8122749505811937,-2.4322482179170155,1.873772603596514,0.6819472625800526,1.1918253410164614,0.6433236822182401,0.022934781924007,0.6203889002942331,True,False,down,none,"ols prediction, 99%",True,down
g0791,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-3.9414397191502744,-0.9296031682890034,-3.011836550861271,2.2989907674620564,0.7625824432362228,1.5364083242258335,1.0685418460837823,0.3238460280227042,0.7446958180610781,True,False,down,none,"ols prediction, 99%",False,none
g0796,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.4288632354484223,-0.2133665415786421,-0.2154966938697802,0.5976128942042676,0.3004744876012981,0.2971384066029695,0.1532206666026968,0.022934781924007,0.1302858846786898,False,False,none,none,"ols prediction, 99%",False,none
g0796,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.610170057827391,-0.3406173943856529,-0.26955266344173806,0.6905761519875129,0.4638029870950984,0.2267731648924145,0.2883507869918377,0.1875965751561493,0.10075421183568839,False,False,none,none,"ols prediction, 99%",False,none
g0830,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.1314826484475872,0.0512291390000854,0.0802535094475018,0.5385715479667139,0.2337045012631774,0.3048670467035365,0.1532206666026968,0.022934781924007,0.1302858846786898,False,False,none,none,"ols prediction, 99%",False,none
g0830,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.249159712552208,0.2309357843250996,0.018223928227108416,1.01097863566922,0.9641239343278128,0.046854701341407234,0.2883507869918377,0.3238460280227042,-0.03549524103086649,False,False,none,none,"ols prediction, 99%",False,none
g0849,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.2961634296705417,0.1965100844551202,0.09965334521542152,0.3797137534255081,0.2603752992332923,0.11933845419221584,0.1064912479220958,0.022934781924007,0.0835564659980888,False,False,none,none,"ols prediction, 99%",False,none
g0849,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,0.3117406907084081,0.3160760009054773,-0.004335310197069175,0.4052278147217123,0.4150761316797607,-0.009848316958048386,0.2539601393910632,0.1846272103014868,0.06933292908957642,False,False,none,none,"ols prediction, 99%",False,none
g0854,0.16,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.1079592598901273,-0.0460823804644965,-0.06187687942563079,0.1064912479220958,0.0537640369958617,0.0527272109262341,0.1064912479220958,0.0009535818768497,0.1055376660452461,False,False,none,none,"ols prediction, 99%",False,none
g0854,0.3,72,cmpd,E28 | DMSO,E08-Cym | DMSO,E28 | E08-Cym,-0.4715427418152589,-0.0643884604912736,-0.4071542813239853,0.6138981926336987,0.0694642206655821,0.5444339719681166,0.2865392582473683,0.0694642206655821,0.2170750375817862,False,False,none,none,"ols prediction, 99%",False,none
