uniqID,cmp_cond,cmp1,cmp2,comparison,FC1,FC2,FCdiff,signf1,signf2,signf,effect
g00,cmpd,A | DMSO,B | DMSO,A | B,0.00024603067149651486,-0.2688429094570164,0.2690889401285129,False,False,False,none
g01,cmpd,A | DMSO,B | DMSO,A | B,0.05974910750169398,-0.09152315220804363,0.15127225970973762,False,False,False,none
g02,cmpd,A | DMSO,B | DMSO,A | B,3.5,-0.3802445479601688,3.880244547960169,True,True,True,"up, —"
g03,cmpd,A | DMSO,B | DMSO,A | B,-0.17811836775145484,-0.2579075479569952,0.07978918020554038,False,False,False,none
g04,cmpd,A | DMSO,B | DMSO,A | B,-0.09093415703434451,-0.3683470075583465,0.277412850524002,False,False,False,none
g05,cmpd,A | DMSO,B | DMSO,A | B,-3.0,-0.04701822621493626,-2.952981773785064,True,True,True,"down, —"
g06,cmpd,A | DMSO,B | DMSO,A | B,0.012028720519487697,-0.2534892962887407,0.2655180168082284,False,False,False,none
g07,cmpd,A | DMSO,B | DMSO,A | B,0.2680430491109067,0.05425287176434031,0.2137901773465664,False,False,False,none
g08,cmpd,A | DMSO,B | DMSO,A | B,-0.09844130371026594,0.03135021732484503,-0.12979152103511096,False,False,False,none
g09,cmpd,A | DMSO,B | DMSO,A | B,-0.12409497996398809,3.2,-3.3240949799639883,True,True,True,"—, up"
g10,cmpd,A | DMSO,B | DMSO,A | B,0.09796841003703965,-0.5033519421641026,0.6013203522011423,False,False,False,none
g11,cmpd,A | DMSO,B | DMSO,A | B,0.07137740163201216,-0.10773857916932733,0.1791159808013395,False,False,False,none
g12,cmpd,A | DMSO,B | DMSO,A | B,0.021082849799579712,-0.009700189080214397,0.03078303887979411,False,False,False,none
g13,cmpd,A | DMSO,B | DMSO,A | B,-0.18609360894164095,0.022661797200661513,-0.20875540614230248,False,False,False,none
g14,cmpd,A | DMSO,B | DMSO,A | B,-0.0058503644926546985,-0.30602715310107875,0.30017678860842406,False,False,False,none
g15,cmpd,A | DMSO,B | DMSO,A | B,0.13906063889165757,-0.09555065520678613,0.2346112940984437,False,False,False,none
