uniqID,cmpd,dose,time,cmp_cond,comparison,mean1,mean2,sd1,sd2,log2FC,pP,pQ,thrsh,signf,effect
g0159,E28,0.16,72,cmpd,E28 | E08-Cym,867.2698530164176,858.7344431135732,94.43441234795272,57.74177942358713,0.014268902976464659,0.045180045564365306,0.03478473398998777,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0159,E28,0.3,72,cmpd,E28 | E08-Cym,921.1567183124583,744.1079782193763,28.92721413606905,44.48518733084182,0.3079346385331032,1.9311075096406438,1.0016885839263512,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.16,72,cmpd,E28 | E08-Cym,213.96705922080884,222.08986769518137,30.57145784196568,25.78874489814651,-0.05375486785914241,0.128236237268355,0.0439153515683191,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.3,72,cmpd,E28 | E08-Cym,184.88373293854283,161.7963234834844,54.266190391728784,26.480054718461005,0.19243946867160489,0.26823952719411603,0.11697185186346694,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.16,72,cmpd,E28 | E08-Cym,3566.5156774354646,3557.007082770215,142.06474224065468,64.82363509994912,0.003851468150926962,0.03478473398998777,0.03478473398998777,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.3,72,cmpd,E28 | E08-Cym,4078.9204033960746,4203.7136898088675,213.00770417935888,150.82441475390056,-0.0434770578573449,0.33550395155257,0.14644771533252118,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.16,72,cmpd,E28 | E08-Cym,129.0776963480492,168.688971611112,17.52628672835126,43.143448245968315,-0.3861259221862605,0.6853046420721834,0.3579457076858531,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.3,72,cmpd,E28 | E08-Cym,132.29813253136592,147.48295625647648,37.483949407419274,18.546833396859103,-0.15675554302901773,0.2290943049920697,0.11258873592063248,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.16,72,cmpd,E28 | E08-Cym,216.49369115592387,230.94270602129436,20.092326250146943,53.14874313831273,-0.09320999757033732,0.16335048813417616,0.04684491906273898,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.3,72,cmpd,E28 | E08-Cym,220.6597122407088,271.2381509924347,16.00907762622681,23.49328441235908,-0.29773686666349786,1.449418163661708,0.6960904970030966,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
