well,cmpd,dose,time,rep
A1,E28,0.3,72,1
A2,E28,0.16,72,1
A3,E28,0.08,72,1
A4,E28,0.04,72,1
A5,E28,0.3,72,2
A6,E28,0.16,72,2
A7,E28,0.08,72,2
A8,E28,0.04,72,2
A9,E28,0.3,72,3
A10,E28,0.16,72,3
A11,E28,0.08,72,3
A12,E28,0.04,72,3
B1,E08-Cym,1.25,72,1
B2,E08-Cym,0.6,72,1
B3,E08-Cym,0.3,72,1
B4,E08-Cym,0.16,72,1
B5,DMSO,0,72,1
B6,E08-Cym,1.25,72,2
B7,E08-Cym,0.6,72,2
B8,E08-Cym,0.3,72,2
B9,E08-Cym,0.16,72,2
B10,DMSO,0,72,2
B11,E08-Cym,1.25,72,3
B12,E08-Cym,0.6,72,3
C1,E08-Cym,0.3,72,3
C2,E08-Cym,0.16,72,3
C3,DMSO,0,72,3
C4,E28,0.16,6,1
C5,E28,0.16,6,2
C6,E28,0.16,6,3
C7,DMSO,0,6,1
C8,DMSO,0,6,2
C9,DMSO,0,6,3
C10,E28,0.16,24,1
C11,E28,0.16,24,2
C12,E28,0.16,24,3
D1,DMSO,0,24,1
D2,DMSO,0,24,2
D3,DMSO,0,24,3
