cmpd,strain,dose,uniqID,rep,value
E28,M,0.3,g00,1,873.1810002464342
E28,M,0.3,g00,2,1116.130640651688
E28,M,0.3,g00,3,1049.587286018988
DMSO,M,0.0,g00,1,331.44400279850464
DMSO,M,0.0,g00,2,273.081323415173
DMSO,M,0.0,g00,3,302.2576246745627
E28,W,0.3,g00,1,432.45241935000917
E28,W,0.3,g00,2,367.7708604300909
E28,W,0.3,g00,3,419.9849468623375
DMSO,W,0.0,g00,1,228.25750956154778
DMSO,W,0.0,g00,2,240.39057753453594
DMSO,W,0.0,g00,3,239.6135238857668
E28,M,0.3,g01,1,416.17315238435634
E28,M,0.3,g01,2,557.0809299741504
E28,M,0.3,g01,3,472.0020826050083
DMSO,M,0.0,g01,1,478.748291957612
DMSO,M,0.0,g01,2,519.2144284516065
DMSO,M,0.0,g01,3,516.1450669180036
E28,W,0.3,g01,1,707.3822837452893
E28,W,0.3,g01,2,619.6795844815242
E28,W,0.3,g01,3,585.7638788881889
DMSO,W,0.0,g01,1,410.1678054657516
DMSO,W,0.0,g01,2,310.4390837363436
DMSO,W,0.0,g01,3,323.63456333983004
E28,M,0.3,g02,1,2148.8143021522724
E28,M,0.3,g02,2,2273.4826723578244
E28,M,0.3,g02,3,2896.19606411711
DMSO,M,0.0,g02,1,663.3517349562646
DMSO,M,0.0,g02,2,726.8225455563223
DMSO,M,0.0,g02,3,971.9963421702256
E28,W,0.3,g02,1,962.6943461242231
E28,W,0.3,g02,2,1163.5995208341724
E28,W,0.3,g02,3,871.0402525332305
DMSO,W,0.0,g02,1,651.9604374051872
DMSO,W,0.0,g02,2,573.0409728792173
DMSO,W,0.0,g02,3,637.0406970145358
E28,M,0.3,g03,1,1562.9728844859414
E28,M,0.3,g03,2,1001.6549464413005
E28,M,0.3,g03,3,1456.8189827129795
DMSO,M,0.0,g03,1,1313.712530013184
DMSO,M,0.0,g03,2,1137.35152872943
DMSO,M,0.0,g03,3,981.2558477736962
E28,W,0.3,g03,1,1684.4155419132721
E28,W,0.3,g03,2,1517.6536007072798
E28,W,0.3,g03,3,1731.934978199424
DMSO,W,0.0,g03,1,1101.659779401405
DMSO,W,0.0,g03,2,1448.6011624934258
DMSO,W,0.0,g03,3,1052.9061207457707
E28,M,0.3,g04,1,5972.526468011116
E28,M,0.3,g04,2,7356.576921860937
E28,M,0.3,g04,3,7408.671603779402
DMSO,M,0.0,g04,1,2591.904584001815
DMSO,M,0.0,g04,2,2366.8914235499105
DMSO,M,0.0,g04,3,2178.648541119721
E28,W,0.3,g04,1,3482.302272982484
E28,W,0.3,g04,2,2199.270335208787
E28,W,0.3,g04,3,2418.777111459164
DMSO,W,0.0,g04,1,1518.420873363195
DMSO,W,0.0,g04,2,1666.4329427167138
DMSO,W,0.0,g04,3,1404.4878835423724
E28,M,0.3,g05,1,3980.6484120563555
E28,M,0.3,g05,2,3431.073522867753
E28,M,0.3,g05,3,2763.533577524746
DMSO,M,0.0,g05,1,2790.107957071573
DMSO,M,0.0,g05,2,3512.7336198094044
DMSO,M,0.0,g05,3,3847.0360722230607
E28,W,0.3,g05,1,6204.859049533917
E28,W,0.3,g05,2,7273.659202473234
E28,W,0.3,g05,3,4716.831530916026
DMSO,W,0.0,g05,1,2439.9155010007735
DMSO,W,0.0,g05,2,2001.669996472643
DMSO,W,0.0,g05,3,3033.8370114135046
