strain,time,uniqID,rep,value
M,1,g00,1,1329.0496353945439
M,1,g00,2,1052.7914580675733
M,1,g00,3,1435.7738374573607
M,2,g00,1,426.1274500667005
M,2,g00,2,258.1813899503187
M,2,g00,3,288.9057531674528
W,1,g00,1,322.23292461262594
W,1,g00,2,298.3660037339006
W,1,g00,3,314.25670379034307
W,2,g00,1,220.82183417071516
W,2,g00,2,298.14069357994407
W,2,g00,3,292.93727753539304
M,1,g01,1,555.0629834807517
M,1,g01,2,667.1236154145961
M,1,g01,3,595.0542267050936
M,2,g01,1,506.7663372947079
M,2,g01,2,626.9417933371225
M,2,g01,3,498.0957702818198
W,1,g01,1,596.18347427978
W,1,g01,2,507.5895375023221
W,1,g01,3,495.8584081435143
W,2,g01,1,369.58633711558565
W,2,g01,2,514.0038426379269
W,2,g01,3,404.8847878409364
M,1,g02,1,3088.9869152116585
M,1,g02,2,3130.0426765632415
M,1,g02,3,3648.473592740741
M,2,g02,1,1017.8865208556447
M,2,g02,2,1026.2618412384745
M,2,g02,3,1029.483684578122
W,1,g02,1,1205.4966280817728
W,1,g02,2,775.1846784543139
W,1,g02,3,761.0984742270667
W,2,g02,1,586.7315731016422
W,2,g02,2,751.6904452699404
W,2,g02,3,821.5719256325551
M,1,g03,1,1419.8404798172876
M,1,g03,2,1251.949696790451
M,1,g03,3,1255.3550103782075
M,2,g03,1,1737.3204831985486
M,2,g03,2,1765.4417957246085
M,2,g03,3,1705.274845369625
W,1,g03,1,1204.0024172058716
W,1,g03,2,1406.6428254036277
W,1,g03,3,1378.7751171381747
W,2,g03,1,1139.8846701277769
W,2,g03,2,1276.3932725916668
W,2,g03,3,1140.8543376552502
M,1,g04,1,9876.11822029908
M,1,g04,2,8883.390939979574
M,1,g04,3,9231.055158684527
M,2,g04,1,2812.860043518253
M,2,g04,2,1958.7411555091774
M,2,g04,3,2385.5102929541404
W,1,g04,1,2023.1770147086274
W,1,g04,2,1964.9549727452859
W,1,g04,3,2092.7937718989197
W,2,g04,1,2310.0931763707335
W,2,g04,2,1534.488609167441
W,2,g04,3,2108.5997971002657
M,1,g05,1,2855.0148951790443
M,1,g05,2,3606.237611904651
M,1,g05,3,3931.0207568855835
M,2,g05,1,4533.958852743007
M,2,g05,2,4633.24303471357
M,2,g05,3,4699.647413784019
W,1,g05,1,3356.6786949942884
W,1,g05,2,3291.2320937357213
W,1,g05,3,4137.357679450503
W,2,g05,1,2801.869251047363
W,2,g05,2,2321.881162167155
W,2,g05,3,2379.888381774272
